Plat;Ingrédient;Quantité;Unité;Catégorie;Image
Pizza;Jambon;150;g;Charcuterie;assets/Images/Pizza.jpg
Pizza;Mozzarella ;150;g;Fromage;assets/Images/Pizza.jpg
Pizza;Passata;500;g;Condiments;assets/Images/Pizza.jpg
Pizza;Farine type 00';400;g;Féculents;assets/Images/Pizza.jpg
Pizza;Levure sèche;8;g;Autre;assets/Images/Pizza.jpg
Porc caramélisé;Echine de porc (Spirlingue);400;g;Viande;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Oignon jeune;1;pcs;Légumes;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Gingembre;1;pcs;Légumes;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Ail ;1;pcs;Légumes;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Anis étoilé;1;pcs;Epicerie;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Cardamome;1;pcs;Epicerie;assets/Images/Porc_caramelise.jpg
Ratatouille;Courgette;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Aubergine;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Tomate;3;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Oignon;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Lentilles;300;g;Féculents;assets/Images/Ratatouille.jpg
Ratatouille;Ail ;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Hamburger - frites;Viande hachée;500;g;Viande;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Pain bun;4;pcs;Boulangerie;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Patate douce;2;pcs;Légumes;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Persil;1;pcs;Légumes;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Chapelure;1;pcs;Condiments;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Oeufs;1;pcs;Oeuf;assets/Images/Hamburger_frites.jpg
Quiche;Pâte à quiche;2;pcs;Boulangerie;assets/Images/quiche.jpg
Quiche;Saumon fumé;200;g;Poissons;assets/Images/quiche.jpg
Quiche;Poireau;1;pcs;Légumes;assets/Images/quiche.jpg
Quiche;Crème épaisse;500;ml;Laiterie;assets/Images/quiche.jpg
Quiche;Oeufs;5;pcs;Oeuf;assets/Images/quiche.jpg
