Plat;Ingrédient;Quantité;Unité;Catégorie;Image
Pizza;Jambon;150;g;Charcuterie;assets/Images/Pizza.jpg
Pizza;Mozzarella;150;g;Fromage;assets/Images/Pizza.jpg
Pizza;Passata;500;g;Condiments;assets/Images/Pizza.jpg
Pizza;Farine type 00';400;g;Féculents;assets/Images/Pizza.jpg
Pizza;Levure sèche;8;g;Autre;assets/Images/Pizza.jpg
Porc caramélisé;Echine de porc (Spirlingue);400;g;Viande;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Oignon jeune;1;pcs;Légumes;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Gingembre;1;pcs;Légumes;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Ail ;1;pcs;Légumes;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Anis étoilé;1;pcs;Epicerie;assets/Images/Porc_caramelise.jpg
Porc caramélisé;Cardamome;1;pcs;Epicerie;assets/Images/Porc_caramelise.jpg
Ratatouille;Courgette;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Aubergine;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Tomate;3;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Oignon;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Ratatouille;Lentilles;300;g;Féculents;assets/Images/Ratatouille.jpg
Ratatouille;Ail ;1;pcs;Légumes;assets/Images/Ratatouille.jpg
Hamburger - frites;Viande hachée;500;g;Viande;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Pain bun;4;pcs;Boulangerie;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Patate douce;2;pcs;Légumes;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Fécule de maïs;1;pcs;Condiments;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Persil;1;pcs;Légumes;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Chapelure;1;pcs;Condiments;assets/Images/Hamburger_frites.jpg
Hamburger - frites;Oeufs;1;pcs;Oeuf;assets/Images/Hamburger_frites.jpg
Quiche;Pâte à quiche;2;pcs;Boulangerie;assets/Images/quiche.jpg
Quiche;Saumon fumé;200;g;Poissons;assets/Images/quiche.jpg
Quiche;Poireau;1;pcs;Légumes;assets/Images/quiche.jpg
Quiche;Crème épaisse;500;ml;Laiterie;assets/Images/quiche.jpg
Quiche;Oeufs;5;pcs;Oeuf;assets/Images/quiche.jpg
Couscous perlé - merguez;Couscous perlé;250;g;Féculents;assets/Images/Couscous_perle.jpg
Couscous perlé - merguez;Merguez;4;pcs;Viande;assets/Images/Couscous_perle.jpg
Couscous perlé - merguez;Poivrons;2;pcs;Légumes;assets/Images/Couscous_perle.jpg
Couscous perlé - merguez;Cube de bouillons de viande;1;pcs;Condiments;assets/Images/Couscous_perle.jpg
Couscous perlé - merguez;Harissa;1;pcs;Condiments;assets/Images/Couscous_perle.jpg
Couscous perlé - merguez;Concentré de tomate;1;pcs;Condiments;assets/Images/Couscous_perle.jpg
Pâtes au pesto;Pâtes;330;g;Féculents;assets/Images/pates_pesto.jpg
Pâtes au pesto;Basilic;1;pcs;Légumes;assets/Images/pates_pesto.jpg
Pâtes au pesto;Pignons de pain;50;g;Féculents;assets/Images/pates_pesto.jpg
Pâtes au pesto;Parmesan;100;g;Fromage;assets/Images/pates_pesto.jpg
Curry Katsu;Riz;250;g;Féculents;assets/Images/curry_katsu.jpg
Curry Katsu;Filet de poulet;2;pcs;Viande;assets/Images/curry_katsu.jpg
Curry Katsu;Pommes de terre;3;pcs;Légumes;assets/Images/curry_katsu.jpg
Curry Katsu;Carottes;3;pcs;Légumes;assets/Images/curry_katsu.jpg
Curry Katsu;Oignon;1;pcs;Légumes;assets/Images/curry_katsu.jpg
Curry Katsu;Oignon jeune;1;pcs;Légumes;assets/Images/curry_katsu.jpg
Curry Katsu;Panure Panko;100;g;Condiments;assets/Images/curry_katsu.jpg
Curry Katsu;Cubes curry;3;pcs;Condiments;assets/Images/curry_katsu.jpg
Curry Katsu;Farine;100;g;Condiments;assets/Images/curry_katsu.jpg
Curry Katsu;Oeufs;2;pcs;Condiments;assets/Images/curry_katsu.jpg
Curry Katsu;Huile pour friture;1;pcs;Condiments;assets/Images/curry_katsu.jpg
Pâtes saucisses italiennes;Pâtes;330;g;Féculents;assets/Images/pates_saucisseitalienne.jpg
Pâtes saucisses italiennes;Saucisses italiennes;2;pcs;Viande;assets/Images/pates_saucisseitalienne.jpg
Pâtes saucisses italiennes;Ail ;2;pcs;Légumes;assets/Images/pates_saucisseitalienne.jpg
Pâtes saucisses italiennes;Echalotte;1;pcs;Légumes;assets/Images/pates_saucisseitalienne.jpg
Pâtes saucisses italiennes;Crème épaisse;100;ml;Laiterie;assets/Images/pates_saucisseitalienne.jpg
Pâtes saucisses italiennes;Gochujang;1;pcs;Condiments;assets/Images/pates_saucisseitalienne.jpg
Chicken Fingers;Filet de poulet;2;pcs;Viande;assets/Images/chicken_finger.jpg
Chicken Fingers;Epices à poulet;1;pcs;Epicerie;assets/Images/chicken_finger.jpg
Chicken Fingers;Patate douce;2;pcs;Légumes;assets/Images/chicken_finger.jpg
Chicken Fingers;Fécule de maïs;1;pcs;Condiments;assets/Images/chicken_finger.jpg
Moussaka;Viande hachée;500;g;Viande;assets/Images/Moussaka.jpg
Moussaka;Aubergine;2;pcs;Légumes;assets/Images/Moussaka.jpg
Moussaka;Pommes de terre;4;pcs;Légumes;assets/Images/Moussaka.jpg
Moussaka;Lait;1;pcs;Laiterie;assets/Images/Moussaka.jpg
Moussaka;Farine;1;pcs;Condiments;assets/Images/Moussaka.jpg
Moussaka;Beurre;1;pcs;Laiterie;assets/Images/Moussaka.jpg
Moussaka;Cube de bouillons de viande;1;pcs;Condiments;assets/Images/Moussaka.jpg
Moussaka;Vin rouge;1;pcs;Boisson;assets/Images/Moussaka.jpg
Risotto Chorizo;Risotto;300;g;Féculents;assets/Images/risotto_chorizo.jpg
Risotto Chorizo;Chorizo;1;pcs;Apéro;assets/Images/risotto_chorizo.jpg
Risotto Chorizo;Oignon;1;pcs;Légumes;assets/Images/risotto_chorizo.jpg
Risotto Chorizo;Vin Blanc;1;pcs;Boisson;assets/Images/risotto_chorizo.jpg
Risotto Chorizo;Cube de bouillons de poule;1;pcs ;Condiments;assets/Images/risotto_chorizo.jpg
Samossa;Viande hachée;300;g;Viande;assets/Images/samossa.jpg
Samossa;Pommes de terre;2;pcs;Légumes;assets/Images/samossa.jpg
Samossa;Carottes;1;pcs;Légumes;assets/Images/samossa.jpg
Samossa;Petit pois;1;pcs;Boite;assets/Images/samossa.jpg
Samossa;Feuilles de brick;1;pcs;Frais;assets/Images/samossa.jpg
Samossa;Curry;1;pcs;Epicerie;assets/Images/samossa.jpg
Curry Vert;Filet de poulet;2;pcs;Viande;assets/Images/curry_vert.jpg
Curry Vert;Brocoli;1;pcs;Légumes;assets/Images/curry_vert.jpg
Curry Vert;Carottes;2;pcs;Légumes;assets/Images/curry_vert.jpg
Curry Vert;Oignon jeune;1;pcs;Légumes;assets/Images/curry_vert.jpg
Curry Vert;Riz;300;g;Féculents;assets/Images/curry_vert.jpg
Curry Vert;Bambou;1;pcs;Monde;assets/Images/curry_vert.jpg
Pâtes à l'ail;Pâtes;330;g;Féculents;assets/Images/pates_ail.jpg
Pâtes à l'ail;Ail ;1;pcs;Légumes;assets/Images/pates_ail.jpg
Pâtes à l'ail;Persil;1;pcs;Légumes;assets/Images/pates_ail.jpg
Pain saucisse;Baguette;2;pcs;Boulangerie;assets/Images/pain_saucisse.jpg
Pain saucisse;Saucisses de campagne;4;pcs;Viande;assets/Images/pain_saucisse.jpg
Pain saucisse;Salade;1;pcs;Légumes;assets/Images/pain_saucisse.jpg
Pâtes Vodka;Pâtes;330;g;Féculents;assets/Images/pates_vodka.jpg
Pâtes Vodka;Vodka;5;cl;Boisson;assets/Images/pates_vodka.jpg
Pâtes Vodka;Crème épaisse;100;ml;Laiterie;assets/Images/pates_vodka.jpg
Pâtes Vodka;Dés de lardon fumé;200;g;Frais;assets/Images/pates_vodka.jpg
